Date,Title_Bull,Title_Bear,Title_Pos,Title_Neg,Body_Bull,Body_Bear,Body_Pos,Body_Neg,Comments_Bull,Comments_Bear,Comments_Pos,Comments_Neg,Bull_Bear_Ratio,EMA_3,EMA_10
2019-07-21,9,1,3.4360000000000004,1.5659999999999998,77,47,1.865,1.169,1449,977,393.287,278.741,1.4831115660184238,1.4903228081997446,1.480693356778812
2019-07-22,5,2,2.4730000000000003,1.5590000000000002,27,15,1.042,0.5870000000000001,1321,776,354.63599999999997,264.819,1.702319587628866,1.5963211979143053,1.5209891653715057
2019-07-23,3,2,4.115,0.7040000000000001,30,13,1.936,0.892,2043,1403,624.496,464.801,1.4561653599429794,1.5262432789286424,1.509202987758166
2019-07-24,11,8,1.8230000000000002,1.381,34,10,0.616,0.418,1535,1101,420.028,315.808,1.3941871026339692,1.4602151907813057,1.4882909633930013
2019-07-25,6,4,2.699,1.406,30,22,1.124,1.54,1581,1025,433.287,303.657,1.542439024390244,1.5013271075857748,1.4981360828229817
2019-07-28,7,2,2.764,1.564,8,11,0.971,0.599,1410,927,438.62800000000004,345.162,1.5210355987055015,1.5111813531456382,1.5022996371964408
2019-07-29,9,3,2.727,1.013,9,12,0.61,0.6629999999999999,1285,930,459.68300000000005,371.284,1.381720430107527,1.4464508916265826,1.4803761190149178
2019-07-30,8,4,1.945,1.288,21,46,1.0959999999999999,0.7190000000000001,1405,949,453.539,330.29400000000004,1.4805057955742886,1.4634783436004355,1.4803996965940305
2019-07-31,6,4,2.251,1.0,18,15,1.179,0.76,1504,1253,452.406,397.53,1.200319233838787,1.3318987887196112,1.4294759356905835
2019-08-01,6,4,2.325,1.504,5,5,1.7009999999999998,1.6,1367,984,420.05,319.355,1.3892276422764227,1.360563215498017,1.422158059410419
2019-08-04,3,12,1.137,2.447,13,15,0.9740000000000001,0.5870000000000001,1267,1150,452.621,365.11,1.1017391304347826,1.2311511729663998,1.3639000413823192
2019-08-05,8,10,2.7760000000000002,1.815,35,42,1.181,1.6219999999999999,1319,990,431.397,342.338,1.3323232323232324,1.2817372026448162,1.358158800876735
2019-08-06,2,1,2.505,0.77,14,6,2.13,1.3840000000000001,1305,1038,443.199,335.111,1.2572254335260116,1.2694813180854139,1.3398072730155597
2019-08-07,10,11,2.375,2.905,19,21,1.22,1.177,1941,1508,574.007,418.168,1.2871352785145889,1.2783082983000014,1.3302305439568296
2019-08-08,5,3,1.62,1.083,36,10,1.53,1.157,1331,929,468.056,327.68300000000005,1.4327233584499461,1.3555158283749738,1.34886560557264
2019-08-11,2,7,3.647,1.749,60,22,2.235,1.954,1514,1140,423.10900000000004,353.751,1.3280701754385964,1.341793001906785,1.3450846175392632
2019-08-12,11,8,2.3409999999999997,2.397,21,27,1.482,1.229,1426,1083,541.562,345.36400000000003,1.316712834718375,1.32925291831258,1.3399261107499456
2019-08-13,4,10,1.703,1.895,86,85,1.864,1.636,1842,1649,534.133,452.631,1.1170406306852638,1.223146774498922,1.299401472728221
